ID,EDU,SAL,EXP,HAB,EDM,EDP,HER
1,13,6.17,1,1,12,12,1
2,15,8.49,4,1.5,12,12,1
3,10,4.75,1,-0.36,12,12,1
4,12,6.35,1,0.26,12,10,4
5,15,11.13,2,0.3,12,12,1
6,15,6.23,2,0.44,12,16,2
7,15,5.92,3,0.91,12,12,1
8,13,8.33,4,0.51,12,15,2
9,13,7.02,2,0.86,12,12,2
10,11,8.93,5,0.26,12,12,2
11,12,11.47,1,1.82,16,17,2
12,13,11.13,4,-1.3,13,12,5
13,12,7.92,3,-0.63,12,12,4
14,12,9.02,6,-0.36,10,12,2
15,12,8.33,3,0.28,10,12,3
16,12,11.58,4,-0.72,14,12,1
17,12,12.06,3,-0.01,9,10,2
18,12,14.29,3,0.83,12,16,1
19,12,10.38,3,-0.69,12,12,3
20,14,12.42,2,1.04,12,14,6
21,10,8.93,2,1.18,12,16,2
22,12,9.48,2,1.04,12,12,3
23,12,9.29,5,0.47,15,12,3
24,12,4.9,2,-0.94,12,17,3
25,18,16.44,5,0.78,17,16,1
26,17,30.56,5,1.22,17,16,1
27,13,2.5,4,-0.13,16,16,3
28,17,12.8,3,1.52,16,18,2
29,16,8.08,1,0.3,5,4,2
30,12,6.11,2,1.18,12,9,1
31,11,5.87,2,0.42,11,9,2
32,15,5.25,1,0.71,11,8,2
33,12,16.11,6,0.18,6,7,3
34,14,10.69,4,1.17,10,12,2
35,14,4.57,3,-1.4,11,8,2
36,12,10.38,2,1.61,16,12,2
37,11,5.98,2,0.41,11,10,1
38,11,6.42,1,1.62,16,16,1
39,13,6.82,4,-1.06,12,14,7
40,13,9.87,4,0.51,14,15,7
41,15,11.47,3,0.68,13,14,3
42,11,9.02,2,0.48,9,12,5
43,12,4.52,3,-0.12,9,12,5
44,14,7.69,2,0.84,16,16,4
45,11,5.1,6,-0.13,12,12,3
46,12,5,12,1.08,12,12,3
47,12,6.04,2,0.88,12,12,2
48,12,6.17,2,-0.59,12,14,0
49,9,8.58,4,0.2,12,12,3
50,14,5.98,0,1.4,16,17,2
51,12,6.35,1,0.93,16,18,2
52,12,6.04,2,0.91,10,12,3
53,12,10.38,2,0.98,13,12,0
54,11,7.17,2,0.15,12,12,2
55,12,9.48,3,1.07,12,14,2
56,12,5.81,1,0.29,12,12,3
57,12,4.17,2,0.06,12,12,2
58,14,8.16,8,-0.08,10,12,2
59,16,18.54,4,0.45,12,12,1
60,14,24.04,4,0.63,12,12,1
61,13,7.46,1,1.15,10,16,1
62,13,4.17,1,1.85,20,16,1
63,11,4.39,1,0.61,16,17,1
64,12,10.59,5,-0.9,12,12,2
65,14,8.93,2,0.78,13,20,1
66,12,5.1,3,0.77,16,16,1
67,9,8.16,5,-0.89,11,12,2
68,15,14.29,2,0.38,12,12,2
69,12,10.69,3,0.58,12,16,3
70,11,5.64,2,1.3,12,16,3
71,12,7.38,3,0.25,12,12,2
72,15,13.87,2,0.56,12,12,2
73,15,11.7,5,-0.25,12,8,2
74,12,5.25,1,0.31,10,14,3
75,12,4.43,3,-0.35,10,15,3
76,10,5.25,4,-0.73,9,9,7
77,14,5.2,2,0.88,12,12,3
78,9,4.34,5,-1.03,11,11,6
79,12,11.7,3,0.32,12,12,3
80,16,8.93,4,1.11,12,12,3
81,11,6.48,8,-0.87,8,12,2
82,12,5.05,1,-0.05,11,9,2
83,12,14.87,3,0.44,12,12,2
84,12,5.41,2,1.56,12,18,3
85,12,6.35,2,0.04,12,12,4
86,12,5.98,5,0.15,12,13,4
87,15,6.35,1,0.68,12,18,0
88,12,7.09,4,0.73,12,16,3
89,13,6.75,3,0.45,12,12,6
90,12,10.07,2,0.79,15,18,6
91,12,6.48,2,-0.34,16,13,2
92,12,8.75,1,0.25,12,14,1
93,9,6.42,9,-0.48,12,12,1
94,12,7.92,2,-1.39,12,12,1
95,12,8.58,3,-0.41,12,12,5
96,12,12.42,1,-1.04,12,8,4
97,11,6.29,5,-0.14,11,10,3
98,11,4.43,4,-0.98,12,12,2
99,15,9.02,3,1.05,12,18,2
100,12,6.55,2,-1,12,12,2
101,12,11.94,2,0.59,12,10,1
102,12,12.3,3,0.18,13,12,3
103,14,11.47,4,0.24,12,12,3
104,15,15.33,3,1.78,12,16,3
105,13,7.46,2,-0.02,12,8,2
106,12,9.97,4,-0.15,12,12,4
107,12,8.93,3,-0.75,12,12,4
108,15,3.28,3,-0.06,12,12,4
109,12,7.46,3,-1.32,12,16,3
110,12,10.91,2,-0.21,12,12,4
111,11,6.75,6,0.16,12,12,3
112,15,8.08,6,-0.36,12,13,3
